,community,year,keep_row
755,MOUNT GREENWOOD,2017.0,1
756,MOUNT GREENWOOD,2018.0,1
757,MOUNT GREENWOOD,2019.0,1
758,MOUNT GREENWOOD,2020.0,1
759,MOUNT GREENWOOD,2021.0,1
760,NEAR NORTH SIDE,2001.0,7
761,NEAR NORTH SIDE,2002.0,150
762,NEAR NORTH SIDE,2003.0,135
763,NEAR NORTH SIDE,2004.0,134
764,NEAR NORTH SIDE,2005.0,111
765,NEAR NORTH SIDE,2006.0,111
766,NEAR NORTH SIDE,2007.0,122
767,NEAR NORTH SIDE,2008.0,45
768,NEAR NORTH SIDE,2009.0,94
769,NEAR NORTH SIDE,2010.0,53
770,NEAR NORTH SIDE,2011.0,91
771,NEAR NORTH SIDE,2012.0,56
772,NEAR NORTH SIDE,2013.0,78
773,NEAR NORTH SIDE,2014.0,62
774,NEAR NORTH SIDE,2015.0,95
775,NEAR NORTH SIDE,2016.0,55
776,NEAR NORTH SIDE,2017.0,86
777,NEAR NORTH SIDE,2018.0,65
778,NEAR NORTH SIDE,2019.0,79
779,NEAR NORTH SIDE,2020.0,61
780,NEAR NORTH SIDE,2021.0,74
781,NEAR SOUTH SIDE,2001.0,1
782,NEAR SOUTH SIDE,2002.0,20
783,NEAR SOUTH SIDE,2003.0,15
784,NEAR SOUTH SIDE,2004.0,12
785,NEAR SOUTH SIDE,2005.0,13
786,NEAR SOUTH SIDE,2006.0,19
787,NEAR SOUTH SIDE,2007.0,17
788,NEAR SOUTH SIDE,2008.0,12
789,NEAR SOUTH SIDE,2009.0,5
790,NEAR SOUTH SIDE,2010.0,14
791,NEAR SOUTH SIDE,2011.0,8
792,NEAR SOUTH SIDE,2012.0,12
793,NEAR SOUTH SIDE,2013.0,9
794,NEAR SOUTH SIDE,2014.0,11
795,NEAR SOUTH SIDE,2015.0,5
796,NEAR SOUTH SIDE,2016.0,9
797,NEAR SOUTH SIDE,2017.0,5
798,NEAR SOUTH SIDE,2018.0,7
799,NEAR SOUTH SIDE,2019.0,3
800,NEAR SOUTH SIDE,2020.0,8
801,NEAR SOUTH SIDE,2021.0,3
802,NEAR WEST SIDE,2001.0,4
803,NEAR WEST SIDE,2002.0,58
804,NEAR WEST SIDE,2003.0,64
805,NEAR WEST SIDE,2004.0,56
806,NEAR WEST SIDE,2005.0,62
807,NEAR WEST SIDE,2006.0,61
808,NEAR WEST SIDE,2007.0,72
809,NEAR WEST SIDE,2008.0,37
810,NEAR WEST SIDE,2009.0,39
811,NEAR WEST SIDE,2010.0,40
812,NEAR WEST SIDE,2011.0,45
813,NEAR WEST SIDE,2012.0,54
814,NEAR WEST SIDE,2013.0,45
815,NEAR WEST SIDE,2014.0,56
816,NEAR WEST SIDE,2015.0,44
817,NEAR WEST SIDE,2016.0,55
818,NEAR WEST SIDE,2017.0,53
819,NEAR WEST SIDE,2018.0,53
820,NEAR WEST SIDE,2019.0,47
821,NEAR WEST SIDE,2020.0,38
822,NEAR WEST SIDE,2021.0,30
823,NEW CITY,2002.0,1
824,NEW CITY,2003.0,1
