,names_doingbusiness,keep_row,ID,LATITUDE,LONGITUDE,LOCATION,year
72721,kanela cafe,1,2103655-20190316,41.940826003,-87.651210937,"(41.94082600285433, -87.65121093713536)",2019.0
72722,hotel burnham/atwood cafe,1,76264-20040516,41.883108627,-87.627948771,"(41.883108627266935, -87.62794877080378)",2004.0
72734,spiaggia/cafe spiaggia,1,17498-20110316,41.900801649,-87.624272468,"(41.90080164945196, -87.6242724679302)",2011.0
72740,cafe  03  inc,1,1446257-20041116,41.938165696,-87.802627064,"(41.93816569583675, -87.80262706413474)",2004.0
72792,starbucks coffee #236,1,23046-20090416,41.903812639,-87.630056903,"(41.903812639001785, -87.63005690305373)",2009.0
72844,"ritual coffeehouse, inc.",1,2428196-20170123,41.954094914,-87.675048238,"(41.95409491446792, -87.67504823784746)",2017.0
72893,jackalope coffee & tea house,1,2179543-20160916,41.836116984,-87.645770127,"(41.83611698356011, -87.64577012699183)",2016.0
73058,skydeck cafe',1,1617822-20051116,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)",2005.0
73190,starbucks coffee #2369,1,23113-20050516,41.943096883,-87.679429001,"(41.94309688251642, -87.67942900087363)",2005.0
73209,lakeshore cafe,1,36139-20120616,41.806170388,-87.585799573,"(41.806170387632804, -87.58579957251453)",2012.0
73485,cold comfort cafe & delicatess,1,71026-20051116,41.910277011,-87.68286119,"(41.91027701064524, -87.68286119020127)",2005.0
73595,cafe on oak,1,1766385-20190316,41.900118457,-87.623980519,"(41.90011845725853, -87.62398051946951)",2019.0
73599,el cubanito cafe and sandwiches,1,1680326-20061124,41.816426881,-87.700206507,"(41.81642688081433, -87.70020650732516)",2006.0
73698,harvel corp (coffee unlimited),1,3858-20120516,41.863337832,-87.640723497,"(41.86333783228925, -87.64072349728073)",2012.0
73841,ashland west falcon fuel,1,2637185-20190226,41.764867752,-87.663647157,"(41.76486775164888, -87.6636471574513)",2019.0
73867,d4 irish pub & cafe,1,1804576-20190316,41.892518301,-87.618502427,"(41.89251830082217, -87.61850242693725)",2019.0
