,Unnamed: 0,LONGITUDE,LATITUDE,CCA
311,80192,-87.652417194,41.921647052,LINCOLN PARK
312,80204,-87.604769836,41.788311258,HYDE PARK
313,80215,-87.588363686,41.800409524,HYDE PARK
314,80224,-87.655843244,41.973408536,UPTOWN
315,80264,-87.635165443,41.881967467,LOOP
316,80294,-87.666019096,41.937513752,LAKE VIEW
317,80296,-87.66652853,41.869371085,"LITTLE ITALY, UIC"
318,80302,-87.658604614,41.891769778,"WICKER PARK,WEST TOWN"
319,80363,-87.626976034,41.883109079,LOOP
320,80419,-87.635165443,41.881967467,LOOP
321,80458,-87.596601477,41.79517545,HYDE PARK
322,80511,-87.674822359,41.968923564,LINCOLN SQUARE
323,80620,-87.649294571,41.908619727,RIVER NORTH
324,80624,-87.748872621,41.915176904,"BELMONT CRAGIN,HERMOSA"
325,80646,-87.612866633,41.85110748,MUSEUM CAMPUS
326,80697,-87.625572735,41.878147859,LOOP
327,80896,-87.637155093,41.881407212,LOOP
328,81127,-87.76603991,41.938469953,"BELMONT CRAGIN,HERMOSA"
329,81238,-87.699692085,41.994787517,WEST RIDGE
330,81277,-87.680589203,41.917585992,BUCKTOWN
331,81319,-87.637024697,41.920148393,LINCOLN PARK
332,81444,-87.626015798,41.869062517,LOOP
333,81465,-87.64511919,41.943554985,LAKE VIEW
334,81511,-87.710323101,41.992344902,"NORTH PARK,ALBANY PARK"
335,81720,-87.625912729,41.896600154,RUSH & DIVISION
336,81803,-87.588936218,41.80073555,HYDE PARK
337,81830,-87.679075957,41.954854382,NORTH CENTER
338,81843,-87.677634151,41.896010179,UKRAINIAN VILLAGE AND EAST VILLAGE
339,81845,-87.588936218,41.80073555,HYDE PARK
340,82005,-87.644198417,41.938435181,LAKE VIEW
341,82064,-87.674874698,41.948339267,NORTH CENTER
342,82138,-87.632062286,41.878025655,LOOP
343,82244,-87.637024697,41.920148393,LINCOLN PARK
344,82626,-87.63311319,41.852726786,"ARMOUR SQUARE,CHINATOWN"
345,82719,-87.766696606,41.940000631,PORTAGE PARK
346,82726,-87.740458945,41.902331663,HUMBOLDT PARK
347,82738,-87.631848443,41.85202315,"ARMOUR SQUARE,CHINATOWN"
348,82784,-87.637064995,41.878138181,LOOP
349,82821,-87.667356168,41.893249886,"WICKER PARK,WEST TOWN"
350,82853,-87.632831712,41.895283321,RIVER NORTH
351,82863,-87.675252665,41.91063004,"WICKER PARK,WEST TOWN"
352,82972,-87.684667428,41.914900977,BUCKTOWN
353,83099,-87.693856639,41.968461303,LINCOLN SQUARE
354,83196,-87.677372094,41.912923547,"WICKER PARK,WEST TOWN"
355,83278,-87.660640927,41.965460917,UPTOWN
356,83295,-87.647466848,41.880426198,GREEKTOWN
357,83314,-87.626078783,41.882567066,LOOP
358,83483,-87.586027906,41.747353626,"AVALON PARK,CALUMET HEIGHTS"
359,83489,-87.605547143,41.778708617,WOODLAWN
360,83771,-87.660796569,41.869242742,"LITTLE ITALY, UIC"
361,83810,-87.653928731,41.932746527,LAKE VIEW
362,83824,-87.629689352,41.882104119,LOOP
363,83873,-87.699150883,41.924150306,LOGAN SQUARE
364,83963,-87.644198417,41.938435181,LAKE VIEW
365,84004,-87.660260763,41.994444076,EDGEWATER
366,84008,-87.622612699,41.884628445,LOOP
367,84072,-87.632189133,41.880931558,LOOP
368,84112,-87.62661991,41.896808636,RUSH & DIVISION
369,84147,-87.818541985,42.004147172,EDISON PARK
370,84242,-87.639725027,41.880699246,WEST LOOP
371,84293,-87.64732107,41.875771337,GREEKTOWN
372,84311,-87.635027745,41.90483115,OLD TOWN
373,84340,-87.660604008,41.858709158,LOWER WEST SIDE
374,84348,-87.650807818,41.881826302,WEST LOOP
375,84500,-87.744664923,41.931668929,"BELMONT CRAGIN,HERMOSA"
376,84516,-87.644198417,41.938435181,LAKE VIEW
377,84555,-87.678062723,41.910364022,"WICKER PARK,WEST TOWN"
378,84642,-87.680911906,41.679311763,"MOUNT GREENWOOD,MORGAN PARK"
379,84734,-87.728130504,41.977152882,"NORTH PARK,ALBANY PARK"
380,84740,-87.807032421,41.941879662,DUNNING
381,84750,-87.674148674,41.855750841,LOWER WEST SIDE
382,84778,-87.687741249,41.931968066,BUCKTOWN
383,84781,-87.649176566,41.941696341,LAKE VIEW
384,84827,-87.637164794,41.885243233,LOOP
385,84838,-87.649337013,41.91093474,LINCOLN PARK
386,84981,-87.630056903,41.903812639,RUSH & DIVISION
387,85071,-87.620520448,41.894905816,
388,85144,-87.660640927,41.965460917,UPTOWN
389,85176,-87.65502138,41.982989018,EDGEWATER
390,85191,-87.680589203,41.917585992,BUCKTOWN
391,85206,-87.663950075,41.949966595,WRIGLEYVILLE
392,85227,-87.634769095,41.88331786,LOOP
393,85236,-87.656493932,41.858061856,LOWER WEST SIDE
394,85318,-87.703542891,41.691416187,"MOUNT GREENWOOD,MORGAN PARK"
395,85528,-87.668470388,41.978616154,ANDERSONVILLE
396,85549,-87.664413047,41.921776704,LINCOLN PARK
397,85555,-87.632646837,41.88752864,RIVER NORTH
398,85684,-87.667444076,41.90703875,"WICKER PARK,WEST TOWN"
399,85723,-87.654625555,41.964130219,UPTOWN
400,85739,-87.691099599,41.990381096,WEST RIDGE
401,85827,-87.618536719,41.895941873,
402,85830,-87.760385862,41.796133547,MIDWAY AIRPORT
403,85863,-87.626728956,41.897651538,RUSH & DIVISION
404,85868,-87.678062723,41.910364022,"WICKER PARK,WEST TOWN"
405,86070,-87.666836863,41.903245307,"WICKER PARK,WEST TOWN"
406,86090,-87.653928731,41.932746527,LAKE VIEW
407,86237,-87.631229887,41.890058266,RIVER NORTH
408,86280,-87.689982849,41.99628183,WEST RIDGE
409,86374,-87.708049231,41.959571527,"IRVING PARK,AVONDALE"
410,86602,-87.763147176,41.970758728,JEFFERSON PARK
411,86628,-87.686228363,41.965328383,LINCOLN SQUARE
412,86677,-87.668429485,41.979884283,ANDERSONVILLE
413,86693,-87.690160947,41.895598358,"WICKER PARK,WEST TOWN"
414,86783,-87.620128222,41.89668041,
415,86832,-87.712963126,41.953746187,"IRVING PARK,AVONDALE"
416,86835,-87.616446776,41.809567038,BRONZEVILLE
417,86882,-87.635436571,41.881822494,LOOP
418,86915,-87.676195083,41.909420031,"WICKER PARK,WEST TOWN"
419,87027,-87.625850989,41.883111687,LOOP
420,87056,-87.710323101,41.992344902,"NORTH PARK,ALBANY PARK"
421,87069,-87.650992722,41.837942966,BRIDGEPORT
422,87152,-87.645031473,41.795018985,BACK OF THE YARDS
423,87313,-87.795620293,41.90912536,"MONTCLARE, GALEWOOD"
424,87330,-87.630562518,41.893127755,RIVER NORTH
425,87442,-87.69695391,41.691504033,"MOUNT GREENWOOD,MORGAN PARK"
426,87510,-87.625164692,41.898261619,
427,87575,-87.63318903,41.878014487,LOOP
428,87608,-87.615803055,41.793533064,WASHINGTON PARK
429,87691,-87.652542752,41.95440629,LAKE VIEW
430,87815,-87.625485351,41.879645907,LOOP
431,87822,-87.582946626,41.73684227,"AVALON PARK,CALUMET HEIGHTS"
432,87836,-87.659414087,41.968723711,UPTOWN
433,87874,-87.650674653,41.838096528,BRIDGEPORT
434,87939,-87.624483273,41.878937382,LOOP
435,88044,-87.630950486,41.878814822,LOOP
436,88109,-87.648090264,41.898965335,RIVER NORTH
437,88236,-87.657215079,41.973170643,UPTOWN
438,88260,-87.644223955,41.939194111,LAKE VIEW
439,88301,-87.661926153,42.009148492,ROGERS PARK
440,88330,-87.632548439,41.895852573,RIVER NORTH
441,88403,-87.759725978,41.960462424,PORTAGE PARK
442,88405,-87.747161464,41.944316998,PORTAGE PARK
443,88592,-87.678062723,41.910364022,"WICKER PARK,WEST TOWN"
444,88854,-87.624428052,41.87666158,LOOP
445,88908,-87.714342768,41.994817043,"NORTH PARK,ALBANY PARK"
446,88964,-87.73351986,41.989964243,"SAUGANASH,FOREST GLEN"
447,89089,-87.649294571,41.908619727,RIVER NORTH
448,89122,-87.631622662,41.876813973,LOOP
449,89203,-87.728203412,41.969192303,"NORTH PARK,ALBANY PARK"
450,89223,-87.642044357,41.928487374,LINCOLN PARK
451,89316,-87.625850989,41.883111687,LOOP
452,89331,-87.634904368,41.894671024,RIVER NORTH
453,89348,-87.740659315,41.968562454,"NORTH PARK,ALBANY PARK"
454,89372,-87.759725978,41.960462424,PORTAGE PARK
455,89626,-87.624307178,41.891688517,STREETERVILLE
456,89784,-87.683215839,41.847573841,LOWER WEST SIDE
457,89817,-87.621494195,41.865931037,NEAR SOUTH SIDE
458,89863,-87.636403135,41.929904874,LINCOLN PARK
459,89887,-87.596601477,41.79517545,HYDE PARK
460,89924,-87.661172188,41.965435189,UPTOWN
461,90052,-87.656787588,41.884351914,WEST LOOP
462,90091,-87.651612251,41.884445042,WEST LOOP
463,90169,-87.626082197,41.883526492,LOOP
464,90191,-87.649578514,41.945503653,LAKE VIEW
465,90412,-87.741384759,41.754660124,WEST LAWN
466,90536,-87.669965312,41.903195593,UKRAINIAN VILLAGE AND EAST VILLAGE
467,90724,-87.690481552,41.895815261,UKRAINIAN VILLAGE AND EAST VILLAGE
468,90809,-87.626052425,41.881631187,LOOP
469,90845,-87.63030327,41.883320033,LOOP
470,90901,-87.641552845,41.837787743,BRIDGEPORT
471,90942,-87.645266074,41.943796776,LAKE VIEW
472,91047,-87.655991066,41.886577325,WEST LOOP
473,91064,-87.619655093,41.887556041,LOOP
474,91292,-87.689371316,41.895825283,UKRAINIAN VILLAGE AND EAST VILLAGE
475,91388,-87.67607883,41.961603816,LINCOLN SQUARE
476,91406,-87.629211595,41.87988544,LOOP
477,91521,-87.629064716,41.736261699,"CHATHAM,BURNSIDE"
478,91546,-87.626015798,41.869062517,LOOP
479,91630,-87.653928731,41.932746527,LAKE VIEW
480,91911,-87.626082794,41.871774309,LOOP
481,92018,-87.655302451,41.94711896,WRIGLEYVILLE
482,92074,-87.684660914,41.811207688,"BRIGHTON PARK,MCKINLEY PARK"
483,92093,-87.795620293,41.90912536,"MONTCLARE, GALEWOOD"
484,92100,-87.626556085,41.886831512,LOOP
485,92109,-87.669564918,41.979717097,ANDERSONVILLE
